method;model;instance;sat;time;nodes;propagations;memory
SMT;dup_sym_model;21x21;true;1.411;3521;477984;628.39
SMT;dup_sym_model;22x22;true;0.945;3308;239611;628.39
SMT;dup_sym_model;23x23;true;46.145;38477;10764951;628.39
SMT;dup_sym_model;24x24;true;3.842;8645;1336377;628.39
SMT;dup_sym_model;25x25;true;4.88;10502;1312162;628.39
SMT;dup_sym_model;26x26;true;24.197;23211;3929967;628.39
SMT;dup_sym_model;27x27;true;31.087;19544;3078336;628.39
SMT;dup_sym_model;28x28;true;40.502;34254;6392483;628.39
SMT;dup_sym_model;29x29;true;85.99;68401;20476661;628.39
SMT;dup_sym_model;30x30;true;30.568;17805;2777705;628.39
SMT;dup_sym_model;31x31;true;2.021;6061;458398;628.39
SMT;dup_sym_model;32x32;true;107.66;86099;33734260;628.39
SMT;dup_sym_model;33x33;true;18.547;12004;2941736;628.39
SMT;dup_sym_model;34x34;true;31.52;18500;2931934;628.39
SMT;dup_sym_model;35x35;true;30.793;16399;3021690;628.39
SMT;dup_sym_model;36x36;true;44.082;39360;7733020;628.39
SMT;dup_sym_model;37x37;true;580.857;261813;86419487;628.39
SMT;dup_sym_model;38x38;true;2.198;6294;481609;628.39
SMT;dup_sym_model;39x39;true;11507.175;1465753;586235394;1297.16
SMT;dup_sym_model;40x40;true;2.46;6430;764507;34.0
SMT;dup_sym_model;rotation_test;false;-;-;-;-
SMT;rot_sym_model;8x8;true;0.055;112;744;962.72
SMT;rot_sym_model;9x9;true;0.075;345;9240;962.72
SMT;rot_sym_model;10x10;true;0.141;879;44260;34.0
SMT;rot_sym_model;11x11;true;0.18;1162;50843;34.0
SMT;rot_sym_model;12x12;true;1.378;3939;690940;34.0
SMT;rot_sym_model;13x13;true;2.179;5917;864245;34.0
SMT;rot_sym_model;14x14;true;2.015;6048;808781;34.0
SMT;rot_sym_model;15x15;true;1.897;6693;514848;34.0
SMT;rot_sym_model;16x16;true;6.823;4926;661015;34.0
SMT;rot_sym_model;17x17;true;23.257;23003;3729638;43.29
SMT;rot_sym_model;18x18;true;130.149;116095;30463648;83.62
SMT;rot_sym_model;19x19;true;49.473;41728;10386697;83.62
SMT;rot_sym_model;20x20;true;31.651;15598;3153292;83.62
SMT;rot_sym_model;21x21;true;29.233;10052;1623546;83.62
SMT;rot_sym_model;22x22;true;39.815;27358;5965322;83.62
SMT;rot_sym_model;23x23;true;386.065;269472;86163868;183.05
SMT;rot_sym_model;24x24;true;42.695;31150;5771212;183.05
SMT;rot_sym_model;25x25;true;352.029;249494;75277327;183.05
SMT;rot_sym_model;26x26;true;1528.206;668356;239884300;419.11
SMT;rot_sym_model;27x27;true;1048.789;484306;171523710;343.36
SMT;rot_sym_model;28x28;true;3196.97;919302;364332158;626.4
SMT;rot_sym_model;29x29;true;5644.732;1167854;420176712;716.01
SMT;rot_sym_model;30x30;true;112.533;96283;26256287;863.49
SMT;rot_sym_model;31x31;true;216.898;159042;52874567;863.49
SMT;rot_sym_model;32x32;true;5140.105;1288982;529594878;962.72
SMT;rot_sym_model;33x33;true;1411.073;568834;232486312;626.4
SMT;rot_sym_model;34x34;true;317.191;205730;74339727;626.4
SMT;rot_sym_model;35x35;true;1960.645;697313;271550359;626.4
SMT;rot_sym_model;36x36;true;3056.699;849750;354943053;962.72
SMT;rot_sym_model;38x38;true;53.371;37954;6980455;1297.16
SMT;rot_sym_model;40x40;true;3393.188;748478;333067725;962.72
SMT;rot_sym_model;rotation_test;true;0.025;90;759;962.72
SMT;dup_rot_sym_model;8x8;true;0.022;115;732;3.86
SMT;dup_rot_sym_model;9x9;true;0.053;280;7482;4.7
SMT;dup_rot_sym_model;10x10;true;0.094;434;11163;5.13
SMT;dup_rot_sym_model;11x11;true;0.594;1607;134720;7.49
SMT;dup_rot_sym_model;12x12;true;1.771;3910;567397;11.91
SMT;dup_rot_sym_model;13x13;true;4.816;7397;1387873;17.92
SMT;dup_rot_sym_model;14x14;true;2.519;4941;478083;17.92
SMT;dup_rot_sym_model;15x15;true;4.615;8466;701611;18.88
SMT;dup_rot_sym_model;16x16;true;1.981;4859;480727;18.88
SMT;dup_rot_sym_model;17x17;true;31.419;10123;1871186;34.43
SMT;dup_rot_sym_model;18x18;true;53.131;30288;5970634;42.26
SMT;dup_rot_sym_model;19x19;true;56.569;31443;5191155;42.26
SMT;dup_rot_sym_model;20x20;true;99.275;57979;17865427;56.31
SMT;dup_rot_sym_model;21x21;true;63.863;35503;9656439;56.31
SMT;dup_rot_sym_model;22x22;true;37.198;14186;2723113;56.31
SMT;dup_rot_sym_model;23x23;true;3118.788;696891;262458003;437.95
SMT;dup_rot_sym_model;24x24;true;86.835;48950;14825267;437.95
SMT;dup_rot_sym_model;25x25;true;2380.389;581663;224718284;437.95
SMT;dup_rot_sym_model;26x26;true;5595.516;2743797;1319796708;3067.88
SMT;dup_rot_sym_model;27x27;true;993.493;350286;125921478;437.95
